fecha,n_pedidos
2019-06-20,20
2019-06-21,57
2019-06-22,51
2019-06-23,36
2019-06-24,17
2019-06-25,13
2019-06-26,25
2019-06-27,18
2019-06-28,62
2019-06-29,55
2019-06-30,35
2019-07-01,19
2019-07-02,34
2019-07-03,19
2019-07-04,31
2019-07-05,50
2019-07-06,70
2019-07-07,30
2019-07-08,18
2019-07-09,22
2019-07-10,19
2019-07-11,27
2019-07-12,42
2019-07-13,54
2019-07-14,38
2019-07-15,19
2019-07-16,30
2019-07-17,16
2019-07-18,30
2019-07-19,59
2019-07-20,57
2019-07-21,34
2019-07-22,15
2019-07-23,20
2019-07-24,16
2019-07-25,32
2019-07-26,59
2019-07-27,67
2019-07-28,41
2019-07-29,17
2019-07-30,30
2019-07-31,20
2019-08-01,28
2019-08-02,37
2019-08-03,61
